"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"222072_at",37.7039679062295,105.419759180124,3.14849328496351,0.00195838887237974,0.0094794431906617,-3.26771451718213,"ADD3-AS1"
"244403_at",146.113866190164,338.571116565217,3.14650707547756,0.00197094906854486,0.00953052448241711,-3.26953806016512,"CRB1"
"242446_at",23.4714938604098,58.3247448397516,3.1448723075973,0.00198134280648791,0.00957231757044504,-3.27103825082276,"C6orf163"
"213905_x_at",158.017076590328,248.140221060248,3.14441182398058,0.0019842796821767,0.00958311912578493,-3.27146071354846,"BGN"
"200600_at",75.6070599090163,194.93861231677,3.14399348489778,0.00198695126400956,0.0095943266236618,-3.27184446843567,"MSN"
"219163_at",82.9931772737705,380.36069673913,3.14257243742205,0.00199605121168507,0.00963571428561551,-3.27314773133423,"ZNF562"
"240310_at",28.6477920234426,87.5489381484472,3.14138134707105,0.00200370831187917,0.00966414537332334,-3.27423973268961,"TOR1AIP1"
"222599_s_at",63.3695938062951,198.592850890683,3.14020522032007,0.00201129590808873,0.0096939001917094,-3.2753176889571,"NAV2"
"212451_at",474.383044819672,1310.38660310559,3.13926339334898,0.00201739113687309,0.00971899377993972,-3.27618066842095,"SECISBP2L"
"214097_at",77.4719027975409,289.643139136646,3.1377780863122,0.0020270383866645,0.00975773232883267,-3.27754120633481,"RPS21"
"202330_s_at",80.1113715885243,291.487048204969,3.13625206162841,0.00203699459051393,0.0097953822699868,-3.27893850247641,"UNG"
"214114_x_at",148.469135558197,633.565844875776,3.13543239050333,0.00204236102773268,0.00981593611034495,-3.27968880425466,"FASTK"
"236533_at",39.6853460752131,111.353769309317,3.13487693424085,0.00204600507341539,0.00983172151423684,-3.28019716222071,"ASAP1"
"203112_s_at",56.7981533524591,244.363202267081,3.13381662192457,0.00205297792711406,0.00986176139210693,-3.28116736734839,"NELFA"
"229975_at",257.6429631,674.19325815528,3.13110771178561,0.00207089238477422,0.00993123771051051,-3.28364487074033,"BMPR1B"
"238906_s_at",30.3705358760492,64.1490454024845,3.12952485453475,0.00208142696037579,0.00997563280667482,-3.28509171560762,"RHOJ"
"225175_s_at",85.8941834555738,212.791217440994,3.12923325624158,0.00208337307254514,0.00998233482967362,-3.28535819310631,"SLC44A2"
"222453_at",158.601667118033,392.365544329193,3.12866719461277,0.00208715574931264,0.0099969549359324,-3.28587543224744,"CYBRD1"
"1555920_at",45.6148632096722,126.463345054037,3.12778614933956,0.0020930559397087,0.0100211561019232,-3.28668033803079,"CBX3"
"1552611_a_at",29.8581942927869,90.9083452608696,3.12752194995545,0.00209482823925422,0.0100257995431744,-3.2869216698716,"JAK1"
"228152_s_at",30.5380268583606,52.932213547205,3.1247896166024,0.00211323890555994,0.0101012398395723,-3.28941654589,"DDX60L"
"204258_at",70.7057859918034,254.518321770186,3.12437753334517,0.0021160285157323,0.0101113318561146,-3.28979266407797,"CHD1"
"236653_at",36.5024475929508,107.690334774534,3.12431323735143,0.002116464076707,0.0101125293536621,-3.2898513449575,"LINC00662"
"228176_at",62.3776281878689,150.517978111801,3.12265348839025,0.00212773649256242,0.0101575126805946,-3.29136580765344,"S1PR3"
"237238_at",24.7261396576394,52.5548784173913,3.12205088141833,0.00213184291351189,0.0101726751000404,-3.29191550495853,"WWC1"
"1556364_at",44.4813730652459,132.935908042857,3.12192086785691,0.00213272984283588,0.0101760192125885,-3.29203409195254,"ADAMTS9-AS2"
