"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"207622_s_at",-34.6259915254098,51.0875054409938,-4.23546187101493,3.83752239769996e-05,0.000355862512032302,-2.14217874987814,"Downregulated"
"202558_s_at",-55.0878023258361,57.0707186204969,-4.23534224521597,3.83935901473069e-05,0.000355972450619638,-2.14231539591421,"Downregulated"
"227053_at",-621.011678557377,1928.78966108075,-4.23460295361084,3.85072806999443e-05,0.000356966017678782,-2.14315981693324,"Downregulated"
"226964_at",-160.922532363934,360.250732708075,-4.23448970342732,3.85247251279076e-05,0.000357067188738489,-2.143289163069,"Downregulated"
"210090_at",-54.0382741792787,80.0568355503106,-4.23425643075235,3.85606810146155e-05,0.000357339870249848,-2.14355558301751,"Downregulated"
"203869_at",-111.274861450819,197.118025173913,-4.23365800304672,3.86530677953736e-05,0.000358135312949,-2.14423900121709,"Downregulated"
"220761_s_at",-456.446771945902,928.703623478261,-4.23353777412602,3.86716546047691e-05,0.000358246817268003,-2.14437629775268,"Downregulated"
"222617_s_at",137.589607022951,393.521904621118,4.23343790164468,3.86871009176407e-05,0.000358289811691699,-2.14449034611478,"Upregulated"
"209165_at",-69.6575184721312,149.888318248447,-4.23342302734273,3.86894018880255e-05,0.000358289811691699,-2.14450733152103,"Downregulated"
"218408_at",-197.189851213115,309.257235757764,-4.23318589834863,3.8726102113368e-05,0.000358568947171616,-2.14477811085162,"Downregulated"
"1555851_s_at",-1573.44874455738,4734.00270968944,-4.23312335431541,3.87357875501529e-05,0.000358597897782697,-2.14484952867894,"Downregulated"
"202025_x_at",-81.9767711585245,240.571827521739,-4.23288473664376,3.87727606993985e-05,0.000358879412771222,-2.14512199523462,"Downregulated"
"201840_at",-222.184694145902,410.891343627329,-4.23240021934542,3.88479393680794e-05,0.000359473412549395,-2.14567521221947,"Downregulated"
"220741_s_at",-264.489826934426,442.250968322981,-4.23238640450802,3.88500849520691e-05,0.000359473412549395,-2.14569098525176,"Downregulated"
"202232_s_at",-141.505795388033,197.798297240373,-4.2321991588014,3.88791773040994e-05,0.000359681729120411,-2.14590476890991,"Downregulated"
"203380_x_at",-1355.94816068852,4088.52919717391,-4.23201258834658,3.8908185499767e-05,0.000359889196785614,-2.14611777543111,"Downregulated"
